user_id,sku_id
17300,116510
172,75489
97119,126194
20657,75489
77249,64709
59723,38604
73055,108410
9617,21147
40805,111391
51037,156650
61365,156650
57656,156650
491,156650
9348,108824
4536,65145
20672,68293
60464,10372
26581,92439
35353,9702
20916,143736
12505,78832
99532,70491
69122,27230
28816,70491
71959,70491
89794,99415
35510,170626
272,70491
21002,21147
89794,81515
43072,164289
73631,81515
58256,65785
18359,164289
11607,164289
27764,116510
896,19950
59723,19950
61365,171183
72034,37546
94535,37546
57169,37546
45465,88312
30061,37546
69427,88312
9900,15781
19093,62330
23124,33726
5028,53865
103439,14739
89297,14739
32802,94577
74335,21147
79514,14739
22344,51528
65756,160362
96581,46733
61365,109802
87081,127152
9958,21147
65595,112550
28760,112550
92187,120712
43359,166354
4248,166354
48185,21147
80732,125756
35380,99425
3980,138778
91161,116489
96357,116489
5620,103085
47949,126535
16036,47193
43401,149854
69374,108824
66461,126535
84595,107012
64965,6694
37769,127931
78649,107012
58180,126535
56062,107012
1319,107012
910,128567
64965,128567
75226,123773
25781,107309
88920,145990
10125,14163
10760,40511
61026,94561
72396,85566
49890,128747
46972,30962
11781,42199
13718,133629
16891,133629
9402,109083
31989,10373
47127,40336
33486,40336
63717,40336
56494,40336
6942,40336
87368,40336
75567,40336
48684,155017
21909,55792
35672,55792
53374,160870
74345,80130
101115,80130
11965,77785
65547,147622
6759,147622
33821,63217
30785,131300
35259,137100
23504,25409
4447,62566
60128,131300
59084,51852
24550,51852
30061,163680
65247,163680
17542,163680
86162,60833
34222,131300
44481,54570
83774,131300
94907,51670
40978,68124
87137,37427
79557,131300
53070,36307
44791,152478
60705,154636
77448,17529
73139,152478
17323,118053
72843,120076
51388,120076
64819,154636
43294,154636
69101,77654
40675,20248
69427,154636
12692,69931
54948,114890
61059,120509
18157,47213
52861,159187
51901,159187
20006,159187
26199,159187
19734,159187
90162,159187
77287,159187
77249,98989
19149,43533
68790,88295
41153,9439
14135,110086
86222,110086
13571,2538
75967,108858
23625,9159
30061,119697
13287,165884
36381,9968
11334,107178
14292,90646
52861,9968
51901,9968
81396,9968
77335,24617
